group,token_length
Informal Human,5
Informal Human,24
Informal Human,30
Informal Human,59
Informal Human,18
Informal Human,25
Informal Human,12
Informal Human,34
Informal Human,41
Informal Human,61
Informal Human,27
Informal Human,72
Informal Human,45
Informal Human,8
Informal Human,16
Informal Human,42
Informal Human,20
Informal Human,15
Informal Human,36
Informal Human,42
Informal Human,9
Informal Human,75
Informal Human,55
Informal Human,13
Informal Human,32
Informal Human,26
Informal Human,104
Informal Human,414
Informal Human,4
Informal Human,26
Informal Human,46
Informal Human,3
Informal Human,8
Informal Human,16
Informal Human,8
Informal Human,11
Informal Human,13
Informal Human,63
Informal Human,17
Informal Human,17
Informal Human,43
Informal Human,41
Informal Human,14
Informal Human,120
Informal Human,53
Informal Human,44
Informal Human,24
Informal Human,135
Informal Human,35
Informal Human,68
Informal Human,62
Informal Human,7
Informal Human,230
Informal Human,94
Informal Human,100
Informal Human,29
Informal Human,58
Informal Human,26
Informal Human,10
Informal Human,12
Informal Human,6
Informal Human,6
Informal Human,3
Informal Human,22
Informal Human,101
Informal Human,41
Informal Human,69
Informal Human,33
Informal Human,19
Informal Human,17
Informal Human,69
Informal LLM,44
Informal LLM,53
Informal LLM,57
Informal LLM,67
Informal LLM,46
Informal LLM,49
Informal LLM,49
Informal LLM,62
Informal LLM,57
Informal LLM,61
Informal LLM,60
Informal LLM,66
Informal LLM,60
Informal LLM,70
Informal LLM,50
Informal LLM,57
Informal LLM,74
Informal LLM,66
Informal LLM,60
Informal LLM,74
Informal LLM,63
Informal LLM,44
Informal LLM,65
Informal LLM,67
Informal LLM,65
Informal LLM,63
Informal LLM,56
Informal LLM,49
Informal LLM,52
Informal LLM,55
Informal LLM,54
Informal LLM,53
Informal LLM,53
Informal LLM,58
Informal LLM,62
Informal LLM,55
Informal LLM,56
Informal LLM,64
Informal LLM,61
Informal LLM,62
Informal LLM,63
Informal LLM,60
Informal LLM,69
Informal LLM,73
Informal LLM,69
Informal LLM,52
Informal LLM,39
Informal LLM,56
Informal LLM,56
Informal LLM,48
Informal LLM,57
Informal LLM,57
Informal LLM,62
Informal LLM,71
Informal LLM,54
Informal LLM,65
Informal LLM,61
Informal LLM,62
Informal LLM,64
Informal LLM,66
Informal LLM,62
Informal LLM,59
Informal LLM,65
Informal LLM,63
Informal LLM,66
Informal LLM,62
Informal LLM,62
Informal LLM,66
Informal LLM,62
Informal LLM,66
Informal LLM,56
Informal LLM,61
Informal LLM,58
Informal LLM,62
Informal LLM,60
Informal LLM,65
Informal LLM,58
Informal LLM,65
Informal LLM,63
Informal LLM,57
Informal LLM,58
Informal LLM,58
Informal LLM,52
Informal LLM,55
Informal LLM,57
Informal LLM,66
Informal LLM,56
Informal LLM,60
Informal LLM,55
Informal LLM,52
Informal LLM,57
Informal LLM,54
Informal LLM,61
Informal LLM,62
Informal LLM,56
Informal LLM,57
Informal LLM,52
Informal LLM,63
Informal LLM,60
Informal LLM,73
Informal LLM,55
Informal LLM,56
Informal LLM,60
Informal LLM,53
Informal LLM,52
Informal LLM,53
Informal LLM,48
Informal LLM,54
Informal LLM,59
Informal LLM,60
Informal LLM,61
Informal LLM,54
Informal LLM,61
Informal LLM,63
Informal LLM,62
Informal LLM,67
Informal LLM,63
Informal LLM,62
Informal LLM,61
Informal LLM,60
Informal LLM,57
Informal LLM,61
Informal LLM,57
Informal LLM,56
Informal LLM,58
Informal LLM,59
Informal LLM,61
Informal LLM,56
Informal LLM,61
Informal LLM,57
Informal LLM,51
Informal LLM,49
Informal LLM,56
Informal LLM,63
Informal LLM,72
Informal LLM,81
Informal LLM,80
Informal LLM,62
Informal LLM,57
Informal LLM,68
Informal LLM,56
Informal LLM,61
Informal LLM,61
Informal LLM,60
Informal LLM,67
Informal LLM,63
Informal LLM,67
Informal LLM,58
Informal LLM,62
Informal LLM,53
Informal LLM,66
Informal LLM,58
Informal LLM,61
Informal LLM,58
Informal LLM,69
Informal LLM,65
Informal LLM,54
Informal LLM,56
Informal LLM,57
Informal LLM,51
Informal LLM,60
Informal LLM,56
Informal LLM,56
Informal LLM,64
Informal LLM,58
Informal LLM,62
Informal LLM,65
Informal LLM,68
Informal LLM,60
Informal LLM,54
Informal LLM,65
Informal LLM,61
Informal LLM,61
Informal LLM,64
Informal LLM,61
Informal LLM,61
Informal LLM,64
Informal LLM,54
Informal LLM,67
Informal LLM,57
Informal LLM,70
Informal LLM,79
Informal LLM,79
Informal LLM,83
Informal LLM,65
Informal LLM,62
Informal LLM,48
Informal LLM,45
Informal LLM,52
Informal LLM,68
Informal LLM,77
Informal LLM,58
Informal LLM,68
Informal LLM,58
Informal LLM,60
Informal LLM,60
Informal LLM,59
Informal LLM,57
Informal LLM,58
